sunrise,sunset
2000-01-01 07:33 AM,2000-01-01 05:33 PM
2000-01-02 07:33 AM,2000-01-02 05:33 PM
2000-01-03 07:33 AM,2000-01-03 05:34 PM
2000-01-04 07:33 AM,2000-01-04 05:34 PM
2000-01-05 07:33 AM,2000-01-05 05:35 PM
2000-01-06 07:33 AM,2000-01-06 05:36 PM
2000-01-07 07:33 AM,2000-01-07 05:37 PM
2000-01-08 07:33 AM,2000-01-08 05:38 PM
2000-01-09 07:33 AM,2000-01-09 05:39 PM
2000-01-10 07:33 AM,2000-01-10 05:40 PM
2000-01-11 07:33 AM,2000-01-11 05:40 PM
2000-01-12 07:33 AM,2000-01-12 05:41 PM
2000-01-13 07:33 AM,2000-01-13 05:42 PM
2000-01-14 07:33 AM,2000-01-14 05:43 PM
2000-01-15 07:32 AM,2000-01-15 05:44 PM
2000-01-16 07:32 AM,2000-01-16 05:45 PM
2000-01-17 07:32 AM,2000-01-17 05:46 PM
2000-01-18 07:32 AM,2000-01-18 05:47 PM
2000-01-19 07:31 AM,2000-01-19 05:48 PM
2000-01-20 07:31 AM,2000-01-20 05:49 PM
2000-01-21 07:31 AM,2000-01-21 05:50 PM
2000-01-22 07:30 AM,2000-01-22 05:51 PM
2000-01-23 07:30 AM,2000-01-23 05:52 PM
2000-01-24 07:29 AM,2000-01-24 05:53 PM
2000-01-25 07:29 AM,2000-01-25 05:54 PM
2000-01-26 07:28 AM,2000-01-26 05:55 PM
2000-01-27 07:28 AM,2000-01-27 05:55 PM
2000-01-28 07:27 AM,2000-01-28 05:56 PM
2000-01-29 07:26 AM,2000-01-29 05:57 PM
2000-01-30 07:26 AM,2000-01-30 05:58 PM
2000-01-31 07:25 AM,2000-01-31 05:59 PM
2000-02-01 07:24 AM,2000-02-01 06:00 PM
2000-02-02 07:24 AM,2000-02-02 06:01 PM
2000-02-03 07:23 AM,2000-02-03 06:02 PM
2000-02-04 07:22 AM,2000-02-04 06:03 PM
2000-02-05 07:21 AM,2000-02-05 06:04 PM
2000-02-06 07:20 AM,2000-02-06 06:05 PM
2000-02-07 07:20 AM,2000-02-07 06:06 PM
2000-02-08 07:19 AM,2000-02-08 06:07 PM
2000-02-09 07:18 AM,2000-02-09 06:08 PM
2000-02-10 07:17 AM,2000-02-10 06:09 PM
2000-02-11 07:16 AM,2000-02-11 06:10 PM
2000-02-12 07:15 AM,2000-02-12 06:10 PM
2000-02-13 07:14 AM,2000-02-13 06:11 PM
2000-02-14 07:13 AM,2000-02-14 06:12 PM
2000-02-15 07:12 AM,2000-02-15 06:13 PM
2000-02-16 07:11 AM,2000-02-16 06:14 PM
2000-02-17 07:10 AM,2000-02-17 06:15 PM
2000-02-18 07:09 AM,2000-02-18 06:16 PM
2000-02-19 07:08 AM,2000-02-19 06:17 PM
2000-02-20 07:07 AM,2000-02-20 06:18 PM
2000-02-21 07:06 AM,2000-02-21 06:18 PM
2000-02-22 07:04 AM,2000-02-22 06:19 PM
2000-02-23 07:03 AM,2000-02-23 06:20 PM
2000-02-24 07:02 AM,2000-02-24 06:21 PM
2000-02-25 07:01 AM,2000-02-25 06:22 PM
2000-02-26 07:00 AM,2000-02-26 06:23 PM
2000-02-27 06:59 AM,2000-02-27 06:24 PM
2000-02-28 06:57 AM,2000-02-28 06:24 PM
2000-03-01 06:56 AM,2000-03-01 06:25 PM
2000-03-02 06:55 AM,2000-03-02 06:26 PM
2000-03-03 06:54 AM,2000-03-03 06:27 PM
2000-03-04 06:52 AM,2000-03-04 06:28 PM
